name,item_id,sku,category,subcategory,description,type,list_price,cost,barcode,tags,is_active
MAX-A250,MAX-A250,MAX-A250,Sectioning,Abrasive Blades,10-inch x 0.039-inch x 32 mm (~1.25-inch) MAXCUT Alumna/resin-rubber bonded abrasive blade (MOS 4580 rpm) (Universal thin blade),Finished Good,295,147.55,1019359878115,"a250, abrasive, blade, blades, cutting, max, sectioning",TRUE
MAX-C250,MAX-C250,MAX-C250,Sectioning,Abrasive Blades,"10-inch x 0.039-inch x 32 mm (~1.25-inch) MAXCUT Silicon carbide/resin-rubber bonded abrasive blade (MOS 3440) (Hard non-ferrous metals- titanium, zirconium, etc.)",Finished Good,295,146.45,1019359878115,"abrasive, blade, blades, c250, cutting, max, sectioning",TRUE
MAX-D250,MAX-D250,MAX-D250,Sectioning,Abrasive Blades,10-inch x 0.059-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin bonded abrasive blade (MOS 4585) (General purpose blade for steels and ferrous metals),Finished Good,220,101.5,1019359878139,"abrasive, blade, blades, cutting, d250, max, sectioning",TRUE
MAX-E250,MAX-E250,MAX-E250,Sectioning,Abrasive Blades,"10-inch x 0.059-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin bonded abrasive blade (MOS 4500) (Soft non-ferrous metals- aluminum, brass, zinc, etc)",Finished Good,220,108.5,1019359878054,"abrasive, blade, blades, cutting, e250, max, sectioning",TRUE
MAX-I250,MAX-I250,MAX-I250,Sectioning,Abrasive Blades,10-inch x 0.059-inch x 32 mm (~1.25-inch) MAXCUT reinforced alumina/resin bonded abrasive blade (MOS 4500) (Industrial purpose blade),Finished Good,190,109.5,1019359878931,"abrasive, blade, blades, cutting, i250, max, sectioning",TRUE
MAX-VHS250,MAX-VHS250,MAX-VHS250,Sectioning,Abrasive Blades,10-inch x 0.075-inch x 32 mm (~1.25-inch) MAXCUT alumina/rubber bonded abrasive blade (MOS 3055 rpm) (Hardened steels),Finished Good,390,163.85,1019359878078,"abrasive, blade, blades, cutting, max, sectioning, vhs250",TRUE
MAX-VHS2-250,MAX-VHS2-250,MAX-VHS2-250,Sectioning,Abrasive Blades,10-inch x 0.075-inch x 32 mm (~1.25-inch) MAXCUT alumina/rubber bonded abrasive blade (MOS 3055 rpm) (Hardened steels),Finished Good,370,,,"250, abrasive, blade, blades, cutting, max, sectioning, vhs2",TRUE
MAX-A300,MAX-A300,MAX-A300,Sectioning,Abrasive Blades,12-inch x 0.055-inch x 32 mm (~1.25-inch) MAXCUT Alumina resin-rubber bonded abrasive blade (MOS 3185 rpm) (Universal thin blade),Finished Good,350,190.05,1019359878337,"a300, abrasive, blade, blades, cutting, max, sectioning",TRUE
MAX-C300,MAX-C300,MAX-C300,Sectioning,Abrasive Blades,"12-inch x 0.055-inch x 32 mm (~1.25-inch) MAXCUT silicon carbide/resin-rubber bonded abrasive blade (MOS 3185) (Hard non-ferrous metals- titanium, zirconium, etc.)",Finished Good,350,202.05,1019359878214,"abrasive, blade, blades, c300, cutting, max, sectioning",TRUE
MAX-D300,MAX-D300,MAX-D300,Sectioning,Abrasive Blades,12-inch x 0.075-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin bonded abrasive blade (MOS 3820) (General purpose blade for steels and ferrous metals),Finished Good,250,133.5,1019359878313,"abrasive, blade, blades, cutting, d300, max, sectioning",TRUE
MAX-E300,MAX-E300,MAX-E300,Sectioning,Abrasive Blades,"12-inch x 0.069-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin bonded abrasive blade (MOS 3800) (Soft non-ferrous metals- aluminum, brass, zinc, etc)",Finished Good,250,143.5,1019359878252,"abrasive, blade, blades, cutting, e300, max, sectioning",TRUE
MAX-I300,MAX-I300,MAX-I300,Sectioning,Abrasive Blades,12-inch x 0.069-inch x 32 mm (~1.25-inch) MAXCUT reinforced alumina/resin bonded abrasive blade (MOS 3800) (Industrial purpose blade),Finished Good,240,148.5,1019359878979,"abrasive, blade, blades, cutting, i300, max, sectioning",TRUE
MAX-VHS300,MAX-VHS300,MAX-VHS300,Sectioning,Abrasive Blades,12-inch x 0.078-inch x 32 mm (~1.25-inch) MAXCUT alumina/rubber bonded abrasive blade (MOS 3350 rpm) (Hardened steels),Finished Good,450,249.55,1019359878276,"abrasive, blade, blades, cutting, max, sectioning, vhs300",TRUE
MAX-VHS2-300,MAX-VHS2-300,MAX-VHS2-300,Sectioning,Abrasive Blades,12-inch x 0.078-inch x 32 mm (~1.25-inch) MAXCUT alumina/rubber bonded abrasive blade (MOS 3350 rpm) (Hardened steels),Finished Good,400,,,"300, abrasive, blade, blades, cutting, max, sectioning, vhs2",TRUE
MAX-A350,MAX-A350,MAX-A350,Sectioning,Abrasive Blades,14-inch x 0.055-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin-rubber bonded abrasive blade (MOS 2730 rpm) (Universal thin blade),Finished Good,450,215.35,1019359878535,"a350, abrasive, blade, blades, cutting, max, sectioning",TRUE
