ITEM NAME,ITEM DESCRIPTION
ALPHA-MHT-1000VK,"ALPHA-MHT-1000VK dual Vickers/Knoop microhardness tester with auto turret instrument for Vickers and Knoop indenters independently to changing out the indenters. Benefits include variable testing forces (10, 25, 50, 100, 200, 300, 500, 1000 gram load), 10X, 20 and 40X objectives, automatic loading, dwell and unloading along with an auto-turret head to prevent damage to the indenter (cat. no. ALPHA -MHT-1000VK)"
ALPHA-MHT-1000Z,"ALPHA MHT-1000Z auto turret Micro Vickers hardness testing instrument for Vickers and Knoop indenters.  Benefits include variable testing forces (10, 25, 50, 100, 200, 300, 500, 1000 gram load), 10X and 40X objectives, automatic loading, dwell and unloading along with an auto-turret head to prevent damage to the indenter.  The ALPHA MHT-1000Z can save and export data to either a printer or a PC via a RS232 interface cable. (cat. no. ALPHA-MHT-1000Z)"
ALPHA-MHT-2000Z2,"ALPHA-MHT-2000Z2 auto turret precision Micro Vickers hardness testing instrument for Vickers and Knoop indenters.  Features include an auto turret head, large LCD screen for displaying measuring methods, testing force, indentation length, hardness value, dwell time and the number of measurements.   (part no. ALPHA-MHT-2000Z2)"
ATTO-1000S,ATTO-1000S controlled micro-precision polisher for plano-parallel sample preparation (Cat. No. ATTO-1000S)
FEMTO-1100S,"FEMTO 1100S automatic polishing head for use with the NANO 1000T or NANO 2000S polishing machine. The FEMTO 1100S is a variable speed (0-200 rpm), pneumatically adjustable individual piston polishing head for polishing 1 to 6 specimens independent of each other (note with independent pistons, initial grinding can be done with finer abrasives thus reducing the number of grinding steps). Other benefits include easy to use controls, quick-locking swing mounted design, communication capability with the NANO 1000S and NANO 2000S polishing bases. Mounts onto stainless steel mounting column. The FEMTO 1100S automated polishing head has a built-in transformer so it can be operated at either 110V or 220V."
FEMTO-1500S,"FEMTO 1500S is a dual individual and central automatic polishing head (Part No. FEMTO-1500S) for use with the NANO- 1000S or NANO-2000S polishing machines. The FEMTO 1500S is a variable speed (0-200 rpm), pneumatically adjustable polishing head for polishing 1 to 6 specimens independent of each other, or 3-6 specimens using a fixed central force polishing holder for superior flatness. The FEMTO 1500S automated polishing head has a built-in transformer so it can be operated at either 110V or 220V."
FEMTO-2200S,"FEMTO 2200 automatic polishing head for use with the NANO 1200T polishing machine. The FEMTO 2200 is a variable speed (0-200 rpm), pneumatically adjustable individual piston polishing head for polishing 1 to 6 specimens independent of each other (note with independent pistons, initial grinding can be done with finer abrasives thus reducing the number of grinding steps). Other benefits include easy to use controls, quick-locking swing mounted design, communication capability with the NANO 1200T polishing base. Mounts onto stainless steel mounting column. The FEMTO 2200 automated polishing head has a built-in transformer so it can be operated at either 110V or 220V."
FEMTO-2500S,"FEMTO 2500 is a dual individual and central automatic polishing head (Part No. FEMTO-2500) for use with the NANO- 1200T polishing machine. The FEMTO 2500 is a variable speed (0-200 rpm), pneumatically adjustable polishing head for polishing 1 to 6 specimens independent of each other, or 3-6 specimens using a fixed central force polishing holder for superior flatness. The FEMTO 2500 automated polishing head has a built-in transformer so it can be operated at either 110V or 220V."
GIGA-S,"GIGA-S vibratory polisher is a 9 or 12-inch metallurgical vibratory polisher (bowls quoted separately).  The GIGA-S is designed to prepare even the most difficult to polish materials with a very gentle polishing action.  Polishing is accomplished by setting the default frequency so that the sample begins to vibrate and then changing the voltage in order to adjust the rotational speed.  The GIGA-S features interchangeable polishing bowls, one machine utilizes both 9-inch and 12-inch bowl sizes, used an advanced PZT motor for better vibration control, SMC cover with clear acrylic hood, and heavy duty aluminum casting base.  Numerous specimen holders and weight are also available (quoted separately), The GIGA-S vibratory polisher has a built-in transformer so it can be operated at either 110V or 220V (part no. GIGA-S)"
IM-3000B,"IM-3000B inverted metallurgical microscope with Brightfield illumination.  Includes: 10X extra wide eyepiece, 4X, 10X, 20X, 50X and 100X infinite plan achromatic objectives, trinocular head, mechanical stage and color filters (grey, blue, green, ground glass) (part no. IM-3000B)"
IM-5000,"IM-5000 inverted metallurgical microscope features bright-field, dark field, polarized light and differential interference contrast (DIC) illumination, binocular eyepiece tubes and a digital camera port.  The IM-5000 inverted microscope is an excellent choice for a multipurpose economical  metallurgical microscope.  Objectives include 5X, 10X, 20X, 50X and 100X with wide field 10X eyepieces (part no. IM-5000)"
TeraVAC Pro,Programmable Castable Vacuum Impregnation Chamber (part no. TeraVAC-Pro)
TeraVAC,Vacuum impregnation system (part no. TeraVAC)
