name,sku,description,category,subcategory, price ,,,
MAX-A250,MAX-A250,10-inch x 0.039-inch x 32 mm (~1.25-inch) MAXCUT Alumna/resin-rubber bonded abrasive blade (MOS 4580 rpm) (Universal thin blade),Sectioning,Abrasive Blades, $295.00 ,,,
MAX-C250,MAX-C250,"10-inch x 0.039-inch x 32 mm (~1.25-inch) MAXCUT Silicon carbide/resin-rubber bonded abrasive blade (MOS 3440) (Hard non-ferrous metals- titanium, zirconium, etc.)",Sectioning,Abrasive Blades, $295.00 ,,,
MAX-D250,MAX-D250,10-inch x 0.059-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin bonded abrasive blade (MOS 4585) (General purpose blade for steels and ferrous metals),Sectioning,Abrasive Blades, $220.00 ,,,
MAX-E250,MAX-E250,"10-inch x 0.059-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin bonded abrasive blade (MOS 4500) (Soft non-ferrous metals- aluminum, brass, zinc, etc)",Sectioning,Abrasive Blades, $220.00 ,,,
MAX-I250,MAX-I250,10-inch x 0.059-inch x 32 mm (~1.25-inch) MAXCUT reinforced alumina/resin bonded abrasive blade (MOS 4500) (Industrial purpose blade),Sectioning,Abrasive Blades, $190.00 ,,,
MAX-VHS250,MAX-VHS250,10-inch x 0.075-inch x 32 mm (~1.25-inch) MAXCUT alumina/rubber bonded abrasive blade (MOS 3055 rpm) (Hardened steels),Sectioning,Abrasive Blades, $390.00 ,,,
MAX-VHS2-250,MAX-VHS2-250,,Sectioning,Abrasive Blades, $370.00 ,,,
MAX-A300,MAX-A300,12-inch x 0.055-inch x 32 mm (~1.25-inch) MAXCUT Alumina resin-rubber bonded abrasive blade (MOS 3185 rpm) (Universal thin blade),Sectioning,Abrasive Blades, $350.00 ,,,
MAX-C300,MAX-C300,"12-inch x 0.055-inch x 32 mm (~1.25-inch) MAXCUT silicon carbide/resin-rubber bonded abrasive blade (MOS 3185) (Hard non-ferrous metals- titanium, zirconium, etc.)",Sectioning,Abrasive Blades, $350.00 ,,,
MAX-D300,MAX-D300,12-inch x 0.075-inch x 32 mm (~1.25-inch) MAXCUT alumina/resin bonded abrasive blade (MOS 3820) (General purpose blade for steels and ferrous metals),Sectioning,Abrasive Blades, $250.00 ,,,
